,sentence,pos_tags,chunk_id,chunk_type
0,पालगी भईया कहते हुए धूलीचन्द पांव छूआ और सामने खड़े होकर भीखनरायन की दीन - दशा को चकित होकर निहारने लगा ।,NN NN VM VAUX NNP NN VM CC NST JJ VM NNP PSP NNC SYM NN PSP JJ VM VM VAUX SYM,NP NP2 VGNF VGNF NP3 NP4 VGF CCP NP5 JJP VGNF2 NP6 NP6 NP7 NP7 NP7 NP7 JJP2 VGNF3 VGF2 VGF2 BLK,head head head child head head head head head head head head child child child head child head head head child head
1,खुस रह धूलीचन्द ।,JJ VM NNP SYM,JJP VGF NP BLK,head head head head
2,कैसे हो ?,WQ VM SYM,RBP VGF BLK,head head head
3,घर में सब ठीक हैं ।,NN PSP PRP JJ VM SYM,NP NP NP2 JJP VGF BLK,head child head head head head
4,खटिया पर बैठ दूर क्यों खड़ा है ।,NN PSP VM NST WQ JJ VM SYM,NP NP VGF NP2 RBP JJP VGF2 BLK,head child head head head head head head
5,तू भी बूढा हो गया ।,PRP RP JJ VM VAUX SYM,NP NP JJP VGF VGF BLK,head child head head child head
6,तुझे मैंने गोद में खेलाया है ।,PRP PRP NN PSP VM VAUX SYM,NP NP2 NP3 NP3 VGF VGF BLK,head head head child head child head
7,राजा - महाराजाओं के नाम मिट गये ।,NNC SYM NN PSP NN VM VAUX SYM,NP NP NP NP NP2 VGF VGF BLK,child child head child head head child head
8,मैं तो अदना सा इंसान हूं ।,PRP RP JJ RP NN VM SYM,NP NP NP2 NP2 NP2 VGF BLK,head child child child head head head
9,परमात्मा की कृपा है ।,NN PSP NN VM SYM,NP NP NP2 VGF BLK,head child head head head
10,तुम बताओ भीखनरायन भईया कैसे आना हुआ मुद्दतो बाद ।,PRP VM NNP NN WQ VM VAUX NN NST SYM,NP VGF NP2 NP2 RBP VGF2 VGF2 NP3 NP3 BLK,head head child head head head child head child head
11,रिटायरमेण्ट कैसा कट रहा है दमादों के साथ ।,NN WQ VM VAUX VAUX NN PSP NST SYM,NP RBP VGF VGF VGF NP2 NP2 NP2 BLK,head head head child child head child child head
12,भईया तुम तो स्वर्ग का सुख भोग रहे होगे ?,NN PRP RP NN PSP NN VM VAUX VAUX SYM,NP NP2 NP2 NP3 NP3 NP4 VGF VGF VGF BLK,head head child head child head head child child head
13,धूलीचन्द की बातें सुनकर भीखनरायन की आंखें भर आयीं ।,NNP PSP NN VM NNP PSP NN VM VAUX SYM,NP NP NP2 VGNF NP3 NP3 NP4 VGF VGF BLK,head child head head head child head head child head
14,वह गमछा से आंखों की बाढ रोकते हुए बोला भईया नरक भोग रहा हूं ।,PRP NN PSP NN PSP NN VM VAUX VM NN NN VM VAUX VAUX SYM,NP NP2 NP2 NP3 NP3 NP4 VGNF VGNF VGF NP5 NP6 VGF2 VGF2 VGF2 BLK,head head child head child head head child head head head head child child head
15,धूलीचन्द - स्वर्ग के सुख की चाह में भाई - भतीजों का कागजी कत्ल करवाकर ।,NNP SYM NN PSP NN PSP NN PSP NNC SYM NN PSP JJ NN VM SYM,NP BLK NP2 NP2 NP3 NP3 NP4 NP4 NP5 NP5 NP5 NP5 NP6 NP6 VGNF BLK2,head head head child head child head child child child head child child head head head
16,हक - हिस्सा तक हड़पकर ।,NNC SYM NN PSP VM SYM,NP NP NP NP VGNF BLK,child child head child head head
17,सगे बेटी - दमाद और सौतेली बेटी दमाद को वारिस बना दिये ।,JJ NNC SYM NN CC JJ NNC NN PSP NN VM VAUX SYM,NP NP NP NP CCP NP2 NP2 NP2 NP2 NP3 VGF VGF BLK,child child child head head child child head child head head child head
